Ministry,Request #,Applicant,Description,End Date,Disposition,Publication Status,Reason
"Community, Sport and Cultural Development",CSC-2011-00036,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 16-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00037,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 28-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00040,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 06-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00041,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 27-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00042,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 06-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00050,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 22-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00053,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 20-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00054,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 20-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00055,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 19-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00060,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 20-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00074,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00075,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 19-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00076,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 24-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2011-00077,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00002,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 21-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00003,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 02-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00004,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00005,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 02-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00007,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00021,Individual,"All emails between the City of Rossland staff members (Victor Kumar, Tracey Butler, Deb Timm, and/or Mike Maturo) and/or council members (Greg Granstrom, Kathy Moore, Kathy Wallace, Cary Fisher, Jill Spearn, Tim Thatcher, and/or Jody Blomme) and the Ministry concerning Bylaw #2524. Time frame is January 1, 2012 to [March 29,2012].", 26-Jun-2012,Partial Disclosure,Do Not Publish,Business Information
"Community, Sport and Cultural Development",CSC-2012-00026,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 12-Jun-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00029,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 26-Jun-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00030,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 17-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00031,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 16-May-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00041,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 15-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00042,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 20-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00043,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframes of October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 20-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00045,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of October 1, 2011 to October 31, 2011 and April 1, 2012 - May 31, 2012.", 20-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00054,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 20-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00055,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 09-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00057,Political Party,"The Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 17-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00058,Political Party,"The Assistant Deputy Ministers' Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00059,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe July 1, 2012 to July 31, 2012.", 24-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00060,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe July 1, 2012  to  July 31, 2012.", 12-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00062,Political Party,"The Deputy Minister's Outlook calendar for the timeframe July 1, 2012  to July 31, 2012.", 15-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00071,Media,"Minister Ida Chong's daily agenda and itinerary for May 15, 2011 to July 15, 2011.", 03-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00076,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00077,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 12-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Community, Sport and Cultural Development",CSC-2012-00079,Political Party,"The Deputy Minister's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00054,Political Party,"All records, in any form, related to the Minister's or Minister of State's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 29-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00055,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 15-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00056,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 28-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00064,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 13-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00065,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 13-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00066,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 29-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00073,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 14-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00079,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 17-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00081,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 17-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00082,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 17-Oct-2011,Full Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00088,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 23-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00099,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00100,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00101,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2011-00102,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 24-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00001,Political Party,"The Outlook Calendar of the Minister's Office Administrative Assistant for the timeframe October 31, 2011 to December 31, 2011.", 31-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00002,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00003,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 22-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00004,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 17-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00005,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 02-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00006,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 02-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00036,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 03-May-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00037,Political Party,"The Minister's Office Administrative Assistant's Outlook Calendar for the timeframe January 1, 2012 to March 31, 2012.", 09-May-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00038,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 02-May-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00039,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 12-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00040,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 12-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00067,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 29-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00068,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00069,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframes of October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00071,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of October 1, 2011 to October 31, 2011 and April 1, 2012 - May 31, 2012.", 17-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00088,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 29-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00089,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 29-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00091,Political Party,"The Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 30-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00092,Political Party,"The Assistant Deputy Ministers' Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 18-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00095,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe July 1, 2012 to July 31, 2012.", 12-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00096,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe July 1, 2012  to  July 31, 2012.", 12-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00098,Political Party,"The Deputy Minister's Outlook calendar for the timeframe July 1, 2012  to July 31, 2012.", 17-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00109,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 16-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00110,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 17-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00112,Political Party,"The Deputy Minister's Outlook calendar for the timeframe August 1, 2012 to August 31, 2012.", 17-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Education,EDU-2012-00127,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe September 1, 2012 to September 30, 2012.", 22-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00030,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 15-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00032,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 03-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00041,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 07-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00042,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 12-Sep-2011,Full Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00052,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 19-Mar-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00055,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 07-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00056,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 06-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00063,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 13-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00071,Law Firm,"Records with respect to a report of a misfire at the Imperial Metals Corporation Mount Polley Mine near Likely, BC, on or about June 22, 2009; All documents on or about [named individual] and/or all documents on or about the reported misfire of June 22 (or thereabouts), 2009", 21-Nov-2011,Partial Disclosure,Do Not Publish,Personal Information
"Energy, Mines and Natural Gas",EGM-2011-00080,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 30-Dec-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00081,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 23-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00082,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 10-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00094,Political Party,"Any and all correspondence between the Chief Inspector of Mines Sweeney and the Ministry of Energy and Mines and Petroleum Resources ADM Cavanagh, the DM Reimer and the Minister's Office, and the office of the Minister of State for Mining regarding Boss Power Corporation's Notice of Work on the Blizzard uranium mining claim, exclude any personal information and any records that have already been released publicly. Timeframe is April 1, 2008 to December 30, 2009.", 11-Jun-2012,Partial Disclosure,Do Not Publish,Business Information
"Energy, Mines and Natural Gas",EGM-2011-00107,Media,"Minister Rich Coleman's daily agenda and diary for the period of December 1 - 16, 2011", 16-Jan-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2011-00109,Political Party,"All correspondence, including reports, orders, briefing notes or emails between Rick Thorpe and the Ministry of Energy and Mines, including the ADM, the Deputy and the Minister's office, regarding Peachland Self Storage Limited removal of aggregates and soils on three properties along McDougald Road near Peachland. Time frame is from August 1, 2007 to August 1, 2009.", 03-May-2012,Partial Disclosure,Do Not Publish,Business Information
"Energy, Mines and Natural Gas",EGM-2012-00002,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 30-Mar-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00003,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 22-Mar-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00004,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 23-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00006,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 13-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00032,Media,"Daily agendas and diaries for the period of Feb. 1-29, 2012 for Minister Rich Coleman.", 19-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00034,Media,"Daily agenda and diary for the period of December 17, 2011 to January 31, 2012 for Minister Rich Coleman.", 02-Apr-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00041,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 16-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00044,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 20-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00045,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00047,Media,"Daily agendas and diaries for the period of March 1 - April 5, 2012 for Minister Rich Coleman.", 16-May-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00054,Media,"All records regarding Minister Rich Coleman's meeting with Colin Hansen and John Les on February 22, 2012.", 01-Jun-2012,Full Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00056,Media,"Daily diary and agenda for Minister Rich Coleman for the period of April 6, 2012 to April 23, 2012.", 16-May-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00078,Political Party,"The Liquor and Gaming Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 09-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00080,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 11-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00081,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframes of October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 20-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00084,Media,All records related to the processing and handling of LDB-2012-00018., 26-Jul-2012,Partial Disclosure,Do Not Publish,Personal Information
"Energy, Mines and Natural Gas",EGM-2012-00085,Media,All records regarding the processing and handling of FOI request LDB-2012-00007., 26-Jul-2012,Partial Disclosure,Do Not Publish,Personal Information
"Energy, Mines and Natural Gas",EGM-2012-00090,Researcher,"Copies of any communications received from Tides Canada or its representatives.  Time frame is January 1, 2011 to June 12, 2012.", 15-Oct-2012,Partial Disclosure,Do Not Publish,Business Information
"Energy, Mines and Natural Gas",EGM-2012-00091,Business,"A copy of the Liquor Branch complete file on the application made in 2002 by Bison Properties Ltd for the Oak Bay Beach Hotel 1175 Beach Drive Victoria BC for a licensee retail liquor store license; All correspondence between the Liquor Branch, Bison Properties Ltd and any third parties from the application date forward including any internal reports, memorandums, emails whether it be between Branch staff, municipal officials or Branch inspectors pertaining to this application; Any correspondence that the applicant may have furnished to the Liquor Branch.", 01-Aug-2012,Partial Disclosure,Do Not Publish,Business Information
"Energy, Mines and Natural Gas",EGM-2012-00092,Media,"Daily diary and agenda for Minister Rich Coleman for the period of April 24, 2012 to June 14, 2012.", 23-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00095,Media,"The daily agenda and diary for Jay Chambers for the period of May 16, 2012 to June 14, 2012.", 31-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00096,Media,"The daily agenda and diary for CFO Roger Bissoondatt for the period of April 30, 2012 to June 14, 2012.", 30-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00118,Media,"The daily agenda and diary for CFO Roger Bissoondatt for the period of October 1, 2009 - November 1, 2009 and January 1, 2012 - March 1, 2012.", 22-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00121,Law Firm,All documents or records relating to communications and correspondence between the Liquor Control and Licensing Branch and 0794580BCLTD (Fabric Night Club Ltd.) and/or [named individual] when corresponding or communicating in capacity as a representative of the licensee on business of the licensee., 23-Oct-2012,Partial Disclosure,Do Not Publish,Personal Information
"Energy, Mines and Natural Gas",EGM-2012-00126,Business,"Any written record on the decision of the relocation application of the Three Gables Cold Beer and Wine Store L.R.S. in Penticton BC, Licence #193061, to relocate to 1196 Fairview Road Penticton BC.", 13-Aug-2012,Partial Disclosure,Do Not Publish,Business Information
"Energy, Mines and Natural Gas",EGM-2012-00130,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 13-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00135,Political Party,"The Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 11-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00138,Political Party,"The Liquor and Gaming Assistant Deputy Minister's Outlook calendar for the timeframe June 1, 2012 - June 30, 2012.", 03-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00143,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe July 1, 2012  to  July 31, 2012.", 13-Sep-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00146,Media,"From July 25 to August 7, Minister Rich Coleman and Ministerial Assistant Tobie Myers travelled to London, England :  All expenses, receipts, travel vouchers and other expense-related documentation associated with the trip for both Tobie Myers and Minister Rich Coleman; All itineraries, day book entries, briefing notes or other records relating to the activities of both Tobie Myers and Minister Rich Coleman during the trip.", 18-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
"Energy, Mines and Natural Gas",EGM-2012-00148,Political Party,"A list of any and all individuals who accompanied Minister Coleman on his July/August 2012 trade mission to London, England; A detailed itinerary for the Minister as well as anyone accompanying or working with the Minister during the trip and mission; A summary of all expenses and taxpayer costs incurred by the BC Government for this trip/trade mission, including an indication as to whether these are the total costs or whether there are still outstanding receipts for any participant; Any special instructions provided regarding trip's accommodations and events. Exclude personal information.", 19-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
