CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2008-12-11,100,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2008-12-16,100,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 97,2008-12-18,100,4,DAVE BEATTY,JAMES LELAND,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2008-05-22,200,4,JOHN ROWAN,TOM O'DONNELL,BC NDP,,
INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS LOCAL 712,2008-12-31,300,4,JOHN ROWAN,TOM O'DONNELL,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 115,2008-09-25,300,4,LIONEL RAILTON,GARY KROEKER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 115,2008-10-16,1000,4,LIONEL RAILTON,GARY KROEKER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 115,2008-12-11,800,4,LIONEL RAILTON,GARY KROEKER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 963,2008-04-10,500,4,ADRIAN DAVID,TIM CHESTER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 963,2008-06-19,500,4,ADRIAN DAVID,TIM CHESTER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 963,2008-12-23,1500,4,ADRIAN DAVID,TIM CHESTER,BC NDP,,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 963,2008-12-31,1500,4,ADRIAN DAVID,TIM CHESTER,BC NDP,,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES DISTRICT COUNCIL 38,2008-10-16,10000,4,DAVE HOLMES,PAT BYRNE,BC NDP,,
LABOURERS ADVANCEMENT FUND,2008-04-10,625,4,BRUCE FERGUSON,RICHARD GORDON,BC NDP,,
LABOURERS ADVANCEMENT FUND,2008-07-10,1000,4,BRUCE FERGUSON,RICHARD GORDON,BC NDP,,
LABOURERS ADVANCEMENT FUND,2008-07-17,1250,4,BRUCE FERGUSON,RICHARD GORDON,BC NDP,,
MOTION PICTURE PRODUCTION INDUSTRY ASSOCIATION,2008-09-25,1500,4,PETER LEITCH,CRAWFORD HAWKINS,BC NDP,,
MOTION PICTURE PRODUCTION INDUSTRY ASSOCIATION,2008-09-25,300,4,PETER LEITCH,CRAWFORD HAWKINS,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-03-27,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-05-13,140,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-05-22,140,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-06-05,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-06-19,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-06-26,225,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-06-26,100,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-07-10,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-11-27,200,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-12-31,100,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NEW WESTMINSTER & DISTRICT LABOUR COUNCIL,2008-12-31,120,4,TERRI VAN STEINBURG,CAROLYN CHALIFOUX,BC NDP,,
NORTH OKANAGAN LABOUR COUNCIL,2008-07-17,150,4,GLENN NOWAG,RON BOBOWSKI,BC NDP,,
NORTH OKANAGAN LABOUR COUNCIL,2008-07-17,300,4,GLENN NOWAG,RON BOBOWSKI,BC NDP,,
NORTH OKANAGAN LABOUR COUNCIL,2008-12-31,210,4,GLENN NOWAG,RON BOBOWSKI,BC NDP,,
NORTH OKANAGAN LABOUR COUNCIL,2008-12-31,390,4,GLENN NOWAG,RON BOBOWSKI,BC NDP,,
PUBLIC SERVICE ALLIANCE OF CANADA BC REGIONAL COUNCIL,2008-06-12,450,4,KAY SINCLAIR,MEGAN ADAM,BC NDP,,
SERVICE EMPLOYEES INTERNATIONAL UNION CANADIAN COUNCIL,2008-07-10,500,4,J. CAMERON NELSON,EDWARD (TED) MANSELL,BC NDP,,
SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 244,2008-07-10,500,4,MIKE MCDONALD,ROGER FIRZPATRICK,BC NDP,,
SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION LOCAL 280,2008-09-04,500,4,VERN HENDERSON,GARY MACLENNAN,BC NDP,,
SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION LOCAL 280,2008-10-16,200,4,VERN HENDERSON,GARY MACLENNAN,BC NDP,,
SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION LOCAL 280,2008-12-18,100,4,VERN HENDERSON,GARY MACLENNAN,BC NDP,,
SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION LOCAL 280,2008-12-31,60,4,VERN HENDERSON,GARY MACLENNAN,BC NDP,,
SHEET METAL WORKERS' INTERNATIONAL ASSOCIATION LOCAL 280,2008-12-31,100,4,VERN HENDERSON,GARY MACLENNAN,BC NDP,,
SOUTH CARIBOO LABOUR COUNCIL,2008-07-29,396,4,NORM PREVOST,HARRY BEEL,BC NDP,,
SOUTH CARIBOO LABOUR COUNCIL,2008-07-31,400,4,NORM PREVOST,HARRY BEEL,BC NDP,,
SOUTH CARIBOO LABOUR COUNCIL,2008-10-09,250,4,NORM PREVOST,HARRY BEEL,BC NDP,,
SOUTH CARIBOO LABOUR COUNCIL,2008-12-31,1000,4,NORM PREVOST,HARRY BEEL,BC NDP,,
TEAMSTERS UNION LOCAL 31,2008-07-24,250,4,STAN HENNESSY,ROSS PETERSON,BC NDP,,
TEAMSTERS UNION LOCAL 31,2008-12-04,250,4,STAN HENNESSY,ROSS PETERSON,BC NDP,,
TEAMSTERS UNION LOCAL 31,2008-12-31,200,4,STAN HENNESSY,ROSS PETERSON,BC NDP,,
TEAMSTERS UNION LOCAL 31,2008-07-10,400,4,STAN HENNESSY,ROSS PETERSON,BC NDP,,
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE FITTING INDUSTRY LOCAL 516,2008-10-16,1000,4,BROTHER BRYAN HARRIS,BROTHER CURT MACDONALD,BC NDP,,
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE FITTING INDUSTRY LOCAL 170,2008-08-14,400,4,JOE SHAYLER,ALEX MACDONALD,BC NDP,,
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE FITTING INDUSTRY LOCAL 170,2008-10-16,100,4,JOE SHAYLER,ALEX MACDONALD,BC NDP,,
UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 1518,2008-06-12,1500,4,IVAN LIMPRIGHT,FRANK POZZOBON,BC NDP,,
UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 1518,2008-09-25,500,4,IVAN LIMPRIGHT,FRANK POZZOBON,BC NDP,,
UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 1518,2008-12-18,400,4,IVAN LIMPRIGHT,FRANK POZZOBON,BC NDP,,
UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 1518,2008-12-31,60,4,IVAN LIMPRIGHT,FRANK POZZOBON,BC NDP,,
UNITE HERE LOCAL 40,2008-04-30,500,4,JIM PEARSON,SHELLY ERVIN,BC NDP,,
UNITE HERE LOCAL 40,2008-09-04,200,4,JIM PEARSON,SHELLY ERVIN,BC NDP,,
UNITE HERE LOCAL 40,2008-12-23,500,4,JIM PEARSON,SHELLY ERVIN,BC NDP,,
UNITED STEELWORKERS CANADA,2008-03-27,75000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS CANADA,2008-06-05,500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-03-27,500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-04-10,1250,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-05-13,375,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-06-12,1000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-06-12,350,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-07-10,1000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-07-17,1250,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-07-31,500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-07-31,2500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-09-04,300,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-10-16,1000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-10-29,5000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-11-27,500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-11-27,5000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-12-04,1000,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS DISTRICT 3,2008-12-18,500,4,STEVE HUNT,KEN NEUMANN,BC NDP,,
UNITED STEELWORKERS LOCAL 1-2171,2008-07-10,300,4,DARREL WONG,GARY WONG,BC NDP,,
UNITED STEELWORKERS LOCAL 1-2171,2008-10-29,200,4,DARREL WONG,GARY WONG,BC NDP,,
UNITED STEELWORKERS LOCAL 1-3567,2008-06-12,656.92,4,BRIAN HARDER,DON WHITE,BC NDP,,
UNITED STEELWORKERS LOCAL 1-3567,2008-07-10,1000,4,BRIAN HARDER,DON WHITE,BC NDP,,
UNITED STEELWORKERS LOCAL 1-3567,2008-07-24,300,4,BRIAN HARDER,DON WHITE,BC NDP,,
UNITED STEELWORKERS LOCAL 1-3567,2008-11-27,1000,4,BRIAN HARDER,DON WHITE,BC NDP,,
UNITED STEELWORKERS LOCAL 1-3567,2008-12-11,300,4,BRIAN HARDER,DON WHITE,BC NDP,,
UNITED STEELWORKERS LOCAL 2952,2008-03-13,200,4,SCOTT MCRITCHIE,KAREN ADAMS,BC NDP,,
UNITED STEELWORKERS LOCAL 2952,2008-03-27,200,4,SCOTT MCRITCHIE,KAREN ADAMS,BC NDP,,
UNITED STEELWORKERS LOCAL 2952,2008-07-10,200,4,SCOTT MCRITCHIE,KAREN ADAMS,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2008-10-23,500,4,PHIL BENOIT,MARK CURTIS,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2008-04-30,250,4,BILL SAUNDERS,KEN DAVIDSON,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2008-07-17,250,4,BILL SAUNDERS,KEN DAVIDSON,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2008-11-20,200,4,BILL SAUNDERS,KEN DAVIDSON,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2008-11-20,200,4,BILL SAUNDERS,KEN DAVIDSON,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2008-12-18,200,4,BILL SAUNDERS,KEN DAVIDSON,BC NDP,,
VANCOUVER CONTAINER TRUCKERS' ASSOCIATION,2008-07-10,500,4,PAUL JOHAL,MEEKA SANGHRA,BC NDP,,
VANCOUVER ISLAND NORTH TEACHERS' ASSOCIATION,2008-07-17,500,4,KEVIN OGREN,GREG MURRAY,BC NDP,,
VICTORIA LABOUR COUNCIL,2008-08-14,60,4,MIKE ESO,MIKE FERGUSON,BC NDP,,
VICTORIA LABOUR COUNCIL,2008-10-02,120,4,MIKE ESO,MIKE FERGUSON,BC NDP,,
VICTORIA LABOUR COUNCIL,2008-12-31,150,4,MIKE ESO,MIKE FERGUSON,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2008-06-12,300,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC & YUKON TERRITORY BUILDING & CONSTRUCTION TRADES COUNCIL,2008-10-02,300,4,GARY KROEKER,JIM PAQUETTE,BC NDP,,
BC FEDERATION OF LABOUR,2008-02-14,450,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-03-13,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-03-13,240,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-03-13,500,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-03-13,300,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-04-10,400,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-04-24,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-04-30,800,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-05-22,250,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-19,1500,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-19,750,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-19,160,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-19,160,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-26,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-06-26,750,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-07-17,600,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-07-17,240,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-07-17,250,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-07-17,250,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-08-14,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-11,4750,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-11,5000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-11,100000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-18,10000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-18,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-09-25,1200,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-10-23,750,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-11-13,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-12-18,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-12-18,1000,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC FEDERATION OF LABOUR,2008-12-31,200,4,JIM SINCLAIR,ANGELA SCHIRA,BC NDP,,
BC NURSES' UNION,2008-06-12,300,4,DEBRA MCPHERSON,MABEL MEI PO TUNG,BC NDP,,
BC NURSES' UNION,2008-09-25,600,4,DEBRA MCPHERSON,MABEL MEI PO TUNG,BC NDP,,
BC TEACHERS FEDERATION,2008-06-19,300,4,IRENE LANZINGER,SUSAN LAMBERT,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-03-13,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-03-13,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-03-20,250,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-03-27,400,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-03-27,500,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-04-10,50000,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-05-13,1250,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-05-22,250,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-05-23,500,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-06-05,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-06-12,4500,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-06-19,1000,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-06-19,280,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-06-19,400,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-10,500,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-17,625,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-17,450,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-17,480,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-24,150,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-24,300,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-31,200,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-07-31,400,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-08-14,2100,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-08-14,480,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-08-14,1000,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-10-16,200,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-10-23,500,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-10-29,1000,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-04,450,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-04,1000,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-11,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-18,400,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-18,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-23,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-31,240,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-31,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-12-31,600,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 23 BURNABY CIVIC EMPLOYEES' UNION,2008-06-26,500,4,RICK KOTAR,CAROL SMITH,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2008-03-06,200,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2008-06-05,500,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2008-12-19,200,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2008-03-20,250,4,BILL YOUNG,SAL RUFFOLO,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2008-04-17,200,4,BILL YOUNG,SAL RUFFOLO,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2008-08-14,360,4,BILL YOUNG,SAL RUFFOLO,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2008-07-10,1000,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2008-10-16,1000,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 114,2008-07-10,1000,4,GORD MCGRATH,BILL GAUCHER,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 114,2008-08-07,200,4,GORD MCGRATH,BILL GAUCHER,BC NDP,,
CANADIAN AUTO WORKERS,2008-05-13,105,4,KEN LEWENZA,JIM O'NEIL,BC NDP,,
CANADIAN AUTO WORKERS,2008-07-10,200,4,KEN LEWENZA,JIM O'NEIL,BC NDP,,
CANADIAN AUTO WORKERS,2008-08-14,200,4,KEN LEWENZA,JIM O'NEIL,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA LOCAL 2020",2008-09-18,450,4,JIM BRITTON,ROBERTA MCCANN,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA LOCAL 467",2008-02-27,500,4,JIM BRITTON,DON BOUCHER,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA LOCAL 467",2008-12-23,200,4,JIM BRITTON,DON BOUCHER,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA LOCAL 467",2008-12-23,500,4,JIM BRITTON,DON BOUCHER,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA",2008-03-27,100,4,DAVE COLES,GAETAN MENARD,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA",2008-12-31,300,4,DAVE COLES,GAETAN MENARD,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA WESTERN REGION",2008-07-17,300,4,SCOTT DOHERTY,WALLY EWANICKE,BC NDP,,
"COMMUNICATIONS, ENERGY & PAPERWORKERS UNION OF CANADA WESTERN REGION",2008-09-25,600,4,SCOTT DOHERTY,WALLY EWANICKE,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-04-30,250,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-06-19,300,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-17,500,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-17,200,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-17,750,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-17,100,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-17,150,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-07-24,400,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-08-14,180,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-09-04,300,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2008-10-16,200,4,KEN GEORGETTI,HASSAN YUSSUFF,BC NDP,,
