CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
PALLAN TIMBER PRODUCTS (2000) LTD,2005-10-31,1050,2,TOM PALLAN,,BC UNITED,,
PALLAN TIMBER PRODUCTS (2000) LTD,2005-11-15,1000,2,TOM PALLAN,,BC UNITED,,
PALLAN TIMBER PRODUCTS (2000) LTD,2005-11-15,1050,2,TOM PALLAN,,BC UNITED,,
PALLISER LODGE LP (PALLISER LODGE HOLDINGS LTD),2005-05-02,525,2,ROD NADEAU,,BC UNITED,,
PAMAWED RESOURCES LTD,2005-05-13,1000,2,,,BC UNITED,,
PAMET ENTERPRISES LTD,2005-04-26,500,2,,,BC UNITED,,
PAN FISH CANADA LTD,2005-02-15,750,2,,,BC UNITED,,
PAN FISH CANADA LTD,2005-02-15,100,2,,,BC UNITED,,
PANABODE REMANUFACTURING LTD,2005-04-19,1000,2,,,BC UNITED,,
PANELTECH INTERNATIONAL LLC,2005-10-19,607.25,2,ROY NOTT,SCOTT OLMSTEAD,BC UNITED,,
PANELTECH INTERNATIONAL LLC,2005-10-19,150,2,ROY NOTT,SCOTT OLMSTEAD,BC UNITED,,
PANELTECH INTERNATIONAL LLC,2005-10-19,600,2,ROY NOTT,SCOTT OLMSTEAD,BC UNITED,,
PANORAMA MOUNTAIN VILLAGE INC,2005-04-28,2500,2,,,BC UNITED,,
PARADISE ISLAND FOODS INC,2005-04-23,2000,2,,,BC UNITED,,
PARADOX ENTERPRISES LTD,2005-06-30,1000,2,,,BC UNITED,,
PARAGON VENTURES LTD,2005-04-08,250,2,,,BC UNITED,,
PARAGON VENTURES LTD,2005-04-27,3000,2,,,BC UNITED,,
PARAGON VENTURES LTD,2005-04-28,1500,2,,,BC UNITED,,
PARAGON VENTURES LTD,2005-05-05,2000,2,,,BC UNITED,,
PARALLEL WOOD PRODUCTS LTD,2005-02-22,10000,2,,,BC UNITED,,
PARAMOUNT PROPERTIES LTD,2005-05-13,500,2,,,BC UNITED,,
PARHAR PROPERTY MANAGEMENT LTD,2005-04-23,1000,2,,,BC UNITED,,
PARK LANE HOMES LTD,2005-04-14,2990,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-04-14,2000,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-04-19,25000,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-04-20,500,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-05-17,500,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-05-17,350,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2005-06-17,10000,2,PEETER WESIK,,BC UNITED,,
PARK ROYAL SHOPPING CENTRE HOLDINGS LTD,2005-02-09,500,2,RICK AMANTEA,,BC UNITED,,
PARK ROYAL SHOPPING CENTRE HOLDINGS LTD,2005-04-19,600,2,RICK AMANTEA,,BC UNITED,,
PARK ROYAL SHOPPING CENTRE HOLDINGS LTD,2005-04-27,500,2,RICK AMANTEA,,BC UNITED,,
PARK WEST PLANNING LTD,2005-03-18,1000,2,,,BC UNITED,,
PARK-EX SALES LTD,2005-05-17,250,2,,,BC UNITED,,
PARK-EX SALES LTD,2005-06-06,250,2,,,BC UNITED,,
PARKER MARINE CAMPBELL RIVER LTD,2005-05-10,1000,2,,,BC UNITED,,
PARKER MOTORS LTD,2005-05-13,750,2,,,BC UNITED,,
PARKER MOTORS LTD,2005-05-13,750,2,,,BC UNITED,,
PARKER MOTORS LTD,2005-05-17,459,2,,,BC UNITED,,
PARKER PLACE MEDICAL CLINIC INC,2005-12-16,500,2,,,BC UNITED,,
PARKER JOHNSTON LTD,2005-02-16,200,2,DAN PARKER,,BC UNITED,,
PARKER JOHNSTON LTD,2005-02-16,500,2,DAN PARKER,,BC UNITED,,
PARKLANE VENTURES LTD,2005-04-19,25000,2,,,BC UNITED,,
PARKSVILLE CHRYSLER DODGE JEEP LTD,2005-05-02,1000,2,,,BC UNITED,,
PARKSVILLE CHRYSLER DODGE JEEP LTD,2005-05-11,1000,2,,,BC UNITED,,
PARSONS AUTOS INC DBA ALPINE TOYOTA,2005-04-15,500,2,,,BC UNITED,,
PASHAURA ENTERPRISES LTD,2005-05-06,1000,2,,,BC UNITED,,
PATCH POINT ENTERPRISES LTD,2005-05-17,2500,2,,,BC UNITED,,
PATENT ENFORCEMENT & ROYALTIES LTD,2005-04-09,1000,2,,,BC UNITED,,
PATLAR HOLDINGS LTD,2005-04-27,500,2,,,BC UNITED,,
PATRICK O'CALLAGHAN & ASSOCIATES LTD,2005-02-22,500,2,PATRICK O'CALLAGHAN,,BC UNITED,,
PATRICK O'CALLAGHAN & ASSOCIATES LTD,2005-04-14,500,2,PATRICK O'CALLAGHAN,,BC UNITED,,
PATRICK O'CALLAGHAN & ASSOCIATES LTD,2005-05-17,250,2,PATRICK O'CALLAGHAN,,BC UNITED,,
PATRICK YEARWOOD LAW CORP,2005-10-17,1000,2,PATRICK YEARWOOD,,BC UNITED,,
PATSAN INVESTMENTS LTD,2005-04-30,1150,2,,,BC UNITED,,
PAUL ESPOSITO RESTAURANTS LTD,2005-05-17,500,2,,,BC UNITED,,
PAUL ESPOSITO RESTAURANTS LTD,2005-07-11,1000,2,,,BC UNITED,,
PAUL W. SCHWARTZ LAW CORP,2005-04-01,299,2,,,BC UNITED,,
PAUL W. SCHWARTZ LAW CORP,2005-04-06,1400,2,,,BC UNITED,,
PBA ENGINEERING LTD,2005-04-20,1000,2,,,BC UNITED,,
PCB PROPERTIES LTD,2005-04-27,2000,2,,,BC UNITED,,
PCI HOLDINGS CORP,2005-04-14,2990,2,ANDREW GRANT,KEN WOODHOUSE,BC UNITED,,
PCI HOLDINGS CORP,2005-04-19,500,2,ANDREW GRANT,KEN WOODHOUSE,BC UNITED,,
PCI HOLDINGS CORP,2005-04-28,1000,2,ANDREW GRANT,KEN WOODHOUSE,BC UNITED,,
PCI HOLDINGS CORP,2005-05-13,10000,2,ANDREW GRANT,KEN WOODHOUSE,BC UNITED,,
PCI HOLDINGS CORP,2005-06-20,1000,2,ANDREW GRANT,KEN WOODHOUSE,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-02-16,200,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-03-08,2990,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-03-08,500,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-03-15,6000,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-04-07,25000,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-05-17,500,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-06-06,3888,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-06-17,500,2,,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-11-04,4000,2,TAMMIE GUSZOWATY,,BC UNITED,,
PCL CONSTRUCTORS WESTCOAST INC,2005-11-04,3500,2,TAMMIE GUSZOWATY,,BC UNITED,,
PEACE COUNTRY FREIGHTLINER LTD,2005-04-23,1000,2,,,BC UNITED,,
PEACE TRACTOR LTD,2005-01-26,400,2,,,BC UNITED,,
PEACE TRACTOR LTD,2005-04-19,353.4,2,,,BC UNITED,,
PEACOCKS PERCH SUMMERLAND NEIGHBOURHOOD PUB,2005-06-13,300,2,SUMMERLAND NEIGHBOURHOOD PUB LTD,,BC UNITED,,
PEAKTERM CONSULTING LTD,2005-09-12,500,2,,,BC UNITED,,
PELTON REFORESTATION LTD,2005-04-05,500,2,NORM PELTON,BETTY PELTON,BC UNITED,,
PELTON REFORESTATION LTD,2005-04-07,300,2,NORM PELTON,BETTY PELTON,BC UNITED,,
PELTON REFORESTATION LTD,2005-05-19,500,2,NORM PELTON,BETTY PELTON,BC UNITED,,
PEMBERTON VALLEY SUPERMARKET LTD,2005-05-17,500,2,,,BC UNITED,,
PENCOR CAPITAL CORP,2005-03-08,1150,2,ROBERT LEE,LILY LEE,BC UNITED,,
PENDER FINANCIAL GROUP CORP,2005-01-24,5000,2,BRIAN EDGAR,,BC UNITED,,
PENDER FINANCIAL GROUP CORP,2005-03-28,2990,2,BRIAN EDGAR,,BC UNITED,,
PENDRAY FARMS LTD,2005-03-01,250,2,DAVE PENDRAY,,BC UNITED,,
PENDRAY FARMS LTD,2005-05-02,500,2,DAVE PENDRAY,,BC UNITED,,
PENGROWTH MANAGEMENT LTD,2005-05-13,7500,2,JIM KINNEAR,,BC UNITED,,
PENNEROSA FARMS LTD,2005-02-15,1250,2,,,BC UNITED,,
PENNEROSA FARMS LTD,2005-02-15,250,2,,,BC UNITED,,
PENTICTON FOUNDRY LTD,2005-05-20,2000,2,,,BC UNITED,,
PENTICTON HONDA DIV OF PENTICTON MOTOR PRODUCTS LTD,2005-05-17,1500,2,RICHARD HOFER,,BC UNITED,,
PENTICTON TOYOTA LEISURELAND INC,2005-05-17,1500,2,HENDRIK KEY,,BC UNITED,,
PENTICTON VETERINARY HOSPITAL LTD,2005-05-16,1000,2,S P HARVEY,,BC UNITED,,
PERSISTENCE SHIPPING LTD,2005-04-25,1000,2,,,BC UNITED,,
PACIFIC WESTERN DEVELOPMENT LTD,2005-04-06,500,2,,,BC UNITED,,
HAMILTON ELECTRIC LTD,2005-04-14,750,2,,,BC UNITED,,
HAMILTON STATIONERS LTD,2005-08-05,1000,2,,,BC UNITED,,
HAMPTON INN & SUITES,2005-03-28,1000,2,ALNOOR TEJPAR,AMIR HIRANI,BC UNITED,,
HANAHREUM MART INC,2005-02-16,1000,2,,,BC UNITED,,
HANEY BUILDERS SUPPLIES (1971) LTD,2005-05-17,1911.54,2,,,BC UNITED,,
HANEY HOSPITALITY LTD,2005-05-11,1000,2,,,BC UNITED,,
HANNAM SUPERMARKET INC,2005-02-16,400,2,,,BC UNITED,,
HANS TRUCKING LTD,2005-03-21,400,2,,,BC UNITED,,
HANS TRUCKING LTD,2005-04-07,400,2,,,BC UNITED,,
HANS TRUCKING LTD,2005-05-17,500,2,,,BC UNITED,,
HANSEN INDUSTRIAL TOOL SUPPLY INC,2005-03-08,1000,2,,,BC UNITED,,
HANSEN INDUSTRIAL TOOL SUPPLY INC,2005-03-28,299,2,,,BC UNITED,,
HANSEN SOFTWARE DEVELOPMENT CORP,2005-04-28,1500,2,,,BC UNITED,,
HARBOUR AIR LTD,2005-03-08,7500,2,GREG MCDOUGALL,,BC UNITED,,
HARBOUR CITY KITCHENS LTD,2005-05-05,500,2,SCOTT PHILIPCHALK,,BC UNITED,,
HARBOURVIEW AUTOHAUS LTD,2005-04-15,500,2,,,BC UNITED,,
HARBOURVIEW AUTOHAUS LTD,2005-04-23,500,2,,,BC UNITED,,
HARBOURVIEW ELECTRIC LTD,2005-05-02,1000,2,,,BC UNITED,,
HARD CREEK NICKEL CORP,2005-09-12,650,2,,,BC UNITED,,
HARMONY ENTERPRISES LTD DBA THE PANTRY RESTAURANT,2005-05-04,500,2,,,BC UNITED,,
HARRIS REBAR DIV OF HARRIS STEEL LTD,2005-03-15,3000,2,JIM BROMLEY,,BC UNITED,,
HASTINGS PROPERTIES LTD,2005-06-20,500,2,RAYMOND MCCARTHY,,BC UNITED,,
HAT-TRICK INVESTMENTS LTD,2005-06-17,500,2,,,BC UNITED,,
HAVADAY DEVELOPMENTS INC,2005-04-23,1000,2,,,BC UNITED,,
HAWE HOLDINGS LTD,2005-05-17,500,2,,,BC UNITED,,
HAWKAIR AVIATION LTD,2005-04-14,1050,2,,,BC UNITED,,
HAWKAIR AVIATION LTD,2005-04-14,1050,2,,,BC UNITED,,
HAWKAIR AVIATION LTD,2005-04-14,1050,2,,,BC UNITED,,
HAWKAIR AVIATION LTD,2005-05-07,1200,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-01-24,5000,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-02-16,5000,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-03-01,2500,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-03-01,2500,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-03-08,2500,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-04-04,35000,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-04-15,2500,2,,,BC UNITED,,
HAYES FOREST SERVICES LTD,2005-04-23,1000,2,,,BC UNITED,,
HAYLOCK BROS PAVING LTD,2005-04-18,1500,2,TERRY CROSS,,BC UNITED,,
HAYLOCK BROS PAVING LTD,2005-04-28,1100,2,TERRY CROSS,,BC UNITED,,
HAYLOCK BROS PAVING LTD,2005-04-28,400,2,TERRY CROSS,,BC UNITED,,
HAYWOOD SECURITIES INC,2005-03-15,65000,2,ROB BLANCHARD,DAVID LYALL,BC UNITED,,
HAYWOOD SECURITIES INC,2005-05-03,1000,2,ROB BLANCHARD,DAVID LYALL,BC UNITED,,
HAYWOOD SECURITIES INC,2005-05-16,1000,2,ROB BLANCHARD,DAVID LYALL,BC UNITED,,
HAZCO ENVIRONMENTAL SERVICES LTD,2005-04-01,1000,2,,,BC UNITED,,
HAZELMERE GOLF & TENNIS CLUB LTD,2005-02-09,14375,2,,,BC UNITED,,
HEATHERBRAE SERVICES LTD,2005-03-15,3000,2,MIKE KNIGH,,BC UNITED,,
HEIN POULUS LAW CORP,2005-03-01,500,2,,,BC UNITED,,
HELGERSON INSURANCE SERVICE LTD,2005-04-26,750,2,,,BC UNITED,,
HELGERSON INSURANCE SERVICE LTD,2005-04-26,802.5,2,,,BC UNITED,,
HELIJET INTERNATIONAL INC,2005-04-14,1000,2,,,BC UNITED,,
HELIJET INTERNATIONAL INC,2005-09-22,720,2,,,BC UNITED,,
HELIJET INTERNATIONAL INC,2005-04-14,1000,2,,,BC UNITED,,
HELIJET INTERNATIONAL INC,2005-03-09,629,2,VALERIE CAMPBELL,,BC UNITED,,
HEMLOCK PRINTERS LTD,2005-02-09,800,2,DICK KOUWENHOVEN,,BC UNITED,,
HEMLOCK VALLEY RESORTS INC,2005-04-08,900,2,,,BC UNITED,,
HEMMERA ENVIROCHEM INC,2005-04-14,250,2,PAUL HEMSLEY,,BC UNITED,,
HEMMERA ENVIROCHEM INC,2005-10-31,700,2,PAUL HEMSLEY,,BC UNITED,,
HEMMERA ENVIROCHEM INC,2005-12-31,250,2,PAUL HEMSLEY,,BC UNITED,,
HENDERSON DEVELOPMENT (CANADA) LTD,2005-04-20,10000,2,ALLEN LAI,,BC UNITED,,
"HENDRY, SWINTON, MCKENZIE INSURANCE SERVICES INC",2005-03-28,300,2,BRAD HENDRY,ROSS MCKENZIE,BC UNITED,,
"HENDRY, SWINTON, MCKENZIE INSURANCE SERVICES INC",2005-04-28,500,2,BRAD HENDRY,ROSS MCKENZIE,BC UNITED,,
HENRY SWINTON MCKENZIE LTD,2005-05-04,500,2,,,BC UNITED,,
HERITAGE DESIGN N CONSTRUCTION MANAGEMENT INC,2005-04-14,600,2,,,BC UNITED,,
HERITAGE INN - MARBOR HOLDINGS LTD,2005-05-09,500,2,DAVID ALLEN MARTIN,SOLE OWNER,BC UNITED,,
HERMAN TIMBER DIV OF WEST COAST FOREST PRODUCTS LTD,2005-05-17,1000,2,,,BC UNITED,,
HERMAN TIMBER DIV OF WEST COAST FOREST PRODUCTS LTD,2005-07-11,400,2,,,BC UNITED,,
HEROLD ENGINEERING LTD,2005-04-14,1500,2,,,BC UNITED,,
HEROLD ENGINEERING LTD,2005-04-23,1500,2,,,BC UNITED,,
HEROLD ENGINEERING LTD,2005-04-28,400,2,,,BC UNITED,,
HEROLD ENGINEERING LTD,2005-05-02,20,2,,,BC UNITED,,
HESTER CREEK ESTATE WINERY LTD,2005-05-14,500,2,,,BC UNITED,,
HIDEAWAY II VENTURES LTD,2005-03-08,500,2,,,BC UNITED,,
HIGGINS LOGGING LTD,2005-10-19,500,2,LINDA HIGGINS,,BC UNITED,,
HIGGINS LOGGING LTD,2005-10-19,300,2,LINDA HIGGINS,,BC UNITED,,
HIGGS DEVELOPMENT CORP,2005-03-18,1000,2,,,BC UNITED,,
HIGHFIELD CAPITAL CORP INC,2005-04-07,299,2,,,BC UNITED,,
HIGHGATE MANAGEMENT INC,2005-05-12,1000,2,,,BC UNITED,,
HIGHGATE MANAGEMENT INC,2005-05-17,1000,2,,,BC UNITED,,
HIGHLAND BREW HOLDINGS LTD DBA ALPINE PUB & GRILL,2005-05-13,1000,2,,,BC UNITED,,
HIGHLAND REDI-GREEN TURF FARM LTD,2005-04-28,500,2,DARSHAN BANNS,,BC UNITED,,
HIGHLAND REDI-GREEN TURF FARM LTD,2005-04-28,300,2,DARSHAN BANNS,,BC UNITED,,
HILL & KNOWLTON STRATEGIES,2005-03-28,2990,2,MIKE CUNNINGHAM,BRUCE YOUNG,BC UNITED,,
HILL & KNOWLTON STRATEGIES,2005-05-05,2000,2,MIKE CUNNINGHAM,BRUCE YOUNG,BC UNITED,,
HILL & KNOWLTON STRATEGIES,2005-06-30,200,2,MIKE CUNNINGHAM,BRUCE YOUNG,BC UNITED,,
HILLSIDE EXCAVATING LTD,2005-04-19,300,2,,,BC UNITED,,
HILLTOP SALES & SERVICE LTD,2005-05-14,1000,2,,,BC UNITED,,
HLD EQUISHARE INC,2005-04-05,3000,2,VERONICA WONG,,BC UNITED,,
HLD EQUISHARE INC,2005-04-14,2000,2,VERONICA WONG,,BC UNITED,,
HLP 888 INVESTMENTS LTD,2005-02-16,1000,2,RON LOU-POY,,BC UNITED,,
HMY AIRWAYS INC,2005-09-22,2000,2,DAVID HO,,BC UNITED,,
HOFFMANN-LA ROCHE LTD,2005-09-12,3000,2,,,BC UNITED,,
HOLBORN HOLDINGS LTD,2005-03-15,2990,2,,,BC UNITED,,
HOLBROOK DYSON LOGGING LTD,2005-04-04,1000,2,,,BC UNITED,,
HOLBROOK DYSON LOGGING LTD,2005-04-04,400,2,,,BC UNITED,,
HOLIDAY TRAILS RESORTS (WESTERN) INC,2005-05-11,1000,2,,,BC UNITED,,
HOLIDAY TRAILS RESORTS (WESTERN) INC,2005-05-13,1000,2,,,BC UNITED,,
HOLIDAY TRAILS RESORTS (WESTERN) INC,2005-05-20,1000,2,,,BC UNITED,,
HOLLAND AMERICA LINE INC,2005-05-11,1000,2,,,BC UNITED,,
HOLLAND AMERICA LINE PAYMASTER CORP,2005-04-15,1000,2,,,BC UNITED,,
HOLLAND AMERICA LINE PAYMASTER CORP,2005-05-11,1000,2,,,BC UNITED,,
HOME LUMBER,2005-04-12,282.46,2,,,BC UNITED,,
HOMELIFE GLENAYRE REALTY CHILLIWACK LTD,2005-03-18,1000,2,,,BC UNITED,,
HOMEWOOD CONSTRUCTORS LTD,2005-04-20,250,2,JOHN NEWTON,DOUG NEWTON,BC UNITED,,
HOMEWOOD CONSTRUCTORS LTD,2005-04-28,100,2,JOHN NEWTON,DOUG NEWTON,BC UNITED,,
HONS WUN-TUN HOUSE LTD,2005-02-16,400,2,,,BC UNITED,,
HONDA NORTH OPERATED BY DUSTY INVESTMENTS INC,2005-04-27,3000,2,,,BC UNITED,,
HONDA NORTH OPERATED BY DUSTY INVESTMENTS INC,2005-09-12,300,2,,,BC UNITED,,
HOPE MACHINE & INDUSTRIAL CENTRE LTD,2005-04-19,260,2,,,BC UNITED,,
HOPE MACHINE & INDUSTRIAL CENTRE LTD,2005-05-17,90,2,,,BC UNITED,,
HORIZON CONSTRUCTION MANAGEMENT LTD,2005-07-05,25000,2,,,BC UNITED,,
HORIZON ELECTRIC INC,2005-06-17,500,2,JERRY PASITNEY,,BC UNITED,,
HOSKINS FORD SALED LTD,2005-05-11,500,2,,,BC UNITED,,
HOT LINES HAIR SERVICE LTD,2005-05-05,300,2,KATHRYN TEO,,BC UNITED,,
HOULE ELECTRIC LTD,2005-02-16,400,2,,,BC UNITED,,
PETER KIEWIT SONS CO LTD,2005-03-21,1600,2,JASSY BRAR,,BC UNITED,,
PETER KIEWIT SONS CO LTD,2005-04-15,600,2,JASSY BRAR,,BC UNITED,,
PETER KIEWIT SONS CO LTD,2005-04-19,3000,2,JASSY BRAR,,BC UNITED,,
PETER SOMERVILLE LAW CORP,2005-05-05,1000,2,PETER SOMERVILLE,,BC UNITED,,
PETER W. LEWIS INC,2005-04-14,1250,2,,,BC UNITED,,
PETER'S BROS CONSTRUCTION LTD,2005-05-20,1250,2,,,BC UNITED,,
PETER'S BROS CONSTRUCTION LTD,2005-07-05,1250,2,,,BC UNITED,,
PETERSON CONTRACTING LTD,2005-04-26,2000,2,,,BC UNITED,,
PETRO-CANADA,2005-05-13,2500,2,SANDY FIELD,,BC UNITED,,
PETRO-CANADA,2005-05-17,2500,2,SANDY FIELD,,BC UNITED,,
PFIZER CANADA INC,2005-03-21,750,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-03-28,500,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-04-05,1000,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-05-05,250,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-05-05,250,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-05-11,1000,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-05-11,1000,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-05-17,260,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2005-08-05,200,2,BOB DAWSON,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-02-17,950,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-08,650,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,5,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,15,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,13,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,5,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,16,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,2100,2,BRUCE SUTHERLAND,,BC UNITED,,
PG MILL SUPPLIES LTD,2005-04-18,15,2,BRUCE SUTHERLAND,,BC UNITED,,
PHANTOM ENTERPRISES INC,2005-02-16,400,2,,,BC UNITED,,
PHEASANT GLEN GOLF RESORT DIV OF PLAN OIL INC,2005-04-06,2500,2,,,BC UNITED,,
PHEASANT GLEN GOLF RESORT DIV OF PLAN OIL INC,2005-05-17,2277.05,2,,,BC UNITED,,
PHEASANT GLEN GOLF RESORT DIV OF PLAN OIL INC,2005-12-31,222.95,2,,,BC UNITED,,
PHEIDIAS PROJECT MANAGEMENT CORP,2005-04-05,1000,2,,,BC UNITED,,
PHEIDIAS PROJECT MANAGEMENT CORP,2005-05-02,1750,2,,,BC UNITED,,
PHILIPPINE ASIAN CHRONICLE INC,2005-05-15,700,2,,,BC UNITED,,
PHILLIPS & BROWN ENGINEERING INC,2005-04-23,500,2,,,BC UNITED,,
PHILLIPS DEVELOPMENTS LTD,2005-05-17,300,2,,,BC UNITED,,
PHILLIPS DEVELOPMENTS LTD,2005-06-06,300,2,,,BC UNITED,,
PIER STREET DEVELOPMENTS LTD,2005-04-23,1500,2,,,BC UNITED,,
PINE TREE SERVICES DIV OF LASR NORTH HOLDINGS LTD,2005-05-17,500,2,,,BC UNITED,,
PINNACLE INTERNATIONAL INC,2005-02-09,5000,2,MIKE DECOTIIS,,BC UNITED,,
PINNACLE RIDGE DEVELOPMENTS LTD,2005-04-15,1000,2,,,BC UNITED,,
PINTON FORREST & MADDEN GROUP INC,2005-03-09,300,2,CASEY FORREST,,BC UNITED,,
PINTON FORREST & MADDEN GROUP INC,2005-04-14,598,2,CASEY FORREST,,BC UNITED,,
PINTON FORREST & MADDEN GROUP INC,2005-06-06,500,2,CASEY FORREST,,BC UNITED,,
PIONEER AGENCIES LTD,2005-05-05,500,2,,,BC UNITED,,
PIONEER BUILDING SUPPLIES LTD,2005-03-18,1000,2,ART PETERS,JOHN GIESBRECHT,BC UNITED,,
PIONEER BUILDING SUPPLIES LTD,2005-04-19,511.23,2,ART PETERS,JOHN GIESBRECHT,BC UNITED,,
PIONEER FIREPLACE POOL & SPA LTD,2005-05-05,500,2,,,BC UNITED,,
PIONEER FRUIT AND VEGETABLE CO LTD,2005-02-16,1000,2,,,BC UNITED,,
PIONEER LOG HOMES OF BC LTD,2005-05-11,500,2,,,BC UNITED,,
PITT MEADOWS FARM PITT MANAGEMENT LTD,2005-05-13,2990,2,,,BC UNITED,,
PITT MEADOWS LIMITED PARTNERSHIP,2005-04-17,1000,2,,,BC UNITED,,
PITT MEADOWS MEATS LTD,2005-05-17,500,2,,,BC UNITED,,
PITTMAN ASPHALT DIV OF YCS HOLDINGS LTD,2005-05-17,700,2,,,BC UNITED,,
PLACER DOME INC,2005-03-15,50000,2,PETER TOMSETT,JAY TAYLOR,BC UNITED,,
PLACER DOME INC,2005-10-31,3500,2,PETER TOMSETT,JAY TAYLOR,BC UNITED,,
POETS COVE RESORT LTD,2005-06-30,1200,2,,,BC UNITED,,
POINT BLANK ENTERTAINMENT LTD,2005-04-20,2990,2,,,BC UNITED,,
POINT BLANK ENTERTAINMENT LTD,2005-04-27,5000,2,,,BC UNITED,,
POINT BLANK ENTERTAINMENT LTD,2005-05-17,5000,2,,,BC UNITED,,
POINT BLANK ENTERTAINMENT LTD,2005-11-04,1000,2,,,BC UNITED,,
POLARIS REALTY (CANADA) LTD,2005-05-16,20000,2,,,BC UNITED,,
POLLARD BANKNOTE (BC) LTD,2005-04-27,5000,2,GENE MCKAY,,BC UNITED,,
POLYGON HOMES LTD,2005-02-09,5000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-03-09,2000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-04-06,2500,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-04-14,2000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-04-19,1000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-04-20,2500,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2005-05-11,10000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POPE & TALBOT INC,2005-03-15,50000,2,MICHAEL FLANNERY,,BC UNITED,,
POPE & TALBOT LTD,2005-11-04,500,2,GARY MCGRATH,,BC UNITED,,
POPE & TALBOT LTD,2005-04-07,2000,2,,,BC UNITED,,
POPULAR GROUP INVESTMENTS LTD,2005-05-12,1000,2,,,BC UNITED,,
PORT HARDY BUILDING SUPPLY LTD,2005-03-01,5000,2,,,BC UNITED,,
PORTE INDUSTRIES LTD,2005-04-19,200,2,HERSHEY PORTE,,BC UNITED,,
PORTE INDUSTRIES LTD,2005-04-19,500,2,HERSHEY PORTE,,BC UNITED,,
POST OAK PROPERTY CORP,2005-05-05,300,2,,,BC UNITED,,
